노선ID,노선명,노선이력ID,지역ID,노선유형,배차,첫차시간,막차시간,거리,요금,노선설명,운행여부,곡률도,일반첫차일시,당일막차일시,일반막차여부,막차차량ID,저상버스첫차일시,저상버스막차일시,저상버스막차여부,저상버스막차ID,노선약칭,운행종료시간,운행종료이용,사용여부,노선운행구분,최소배차,최대배차,최고속도,최저속도,평균속도,좌석표출여부,운행소요시간,종점대기시간,인가선수,예비차량건수,대표노선ID,도착정보생성유형(1:교차로/2:정류장),기점명(인가정보),종점명(인가정보),배차(토요일),배차(공휴일),첫차시간(토요일),첫차시간(공휴일),막차시간(토요일),막차시간(공휴일)
212000001,88부천,523,212,8,10,0.035000,0.230000,0.0,0.0,정보없음,1,0.0,20160601032000,20160601232000,,0,,,,0,88,.,0,1,13,5,15,0,0,0,0,0,0,0,0,0,1,대장공영차고지,여의도환승센터,9,9,0.0350,0.0350,0.2300,0.2300
207000021,7의정부,523,207,8,15,0.043000,0.225000,0.0,0.0,정보없음,1,0.0,20160601051500,20160601225000,,0,,,,0,7,,0,1,13,8,23,0,0,0,0,0,0,0,0,0,2,양주자이7단지,노원구청,12,12,0.051500,0.051500,0.225000,0.225000
222000031,65남양주,523,222,8,20,0.050000,0.231000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601231000,,0,,,,0,65,,0,1,13,10,30,0,0,0,0,0,0,0,0,0,2,차산리,경동시장앞,20,20,0.050000,0.050000,0.231000,0.231000
200000109,7002수원,523,200,8,30,0.0520,0.2300,0.0,0.0,서울경유 X,0,0.0,20160601052000,20160601214000,,0,,,,0,7002,.,0,0,0,15,45,0,0,0,0,0,0,0,0,0,1,수원남부버스공영차고지,인덕원역4호선,80,80,0.0520,0.0520,0.2140,0.2140
210000002,12-1부천,523,210,8,20,0.045000,0.233000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601235900,,0,,,,0,12-1,0.2310,1,1,13,10,30,0,0,0,0,0,0,0,0,0,1,대장동종점,괴안사거리.삼오유치원,6,6,0.0500,0.0500,0.2359,0.2359
165000151,1400인천,523,165,7,30,0.0500,1.0000,0.0,0.0,,1,0.0,20160601050000,20160601234000,,0,,,,0,1400,0.,0,1,0,15,45,0,0,0,0,0,0,0,0,0,2,인천터미널,서울역,20,20,0.0500,0.0500,0.2340,0.2340
222000014,73남양주,523,222,8,50,0.0510,0.2200,0.0,0.0,2023.07.10 노선폐선,0,0.0,20160601051000,20160601220000,,0,,,,0,73,..,0,0,0,25,75,0,0,0,0,0,0,0,0,0,2,경복대,석계역1번출구.A,25,25,0.0510,0.0510,0.2200,0.2200
227000005,112-5하남,523,227,8,30,0.042000,0.224000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601230000,,0,,,,0,112-5,.,0,1,13,15,45,0,0,0,0,0,0,0,0,0,2,미사경정공원관람동,울산대학교의과대학,15,15,0.0500,0.0500,0.2300,0.2300
200000111,1550-3수원,0,,8,570,0.0445,0.2250,0.0,0.0,,0,0.0,20160601044500,20160601225000,,0,,,,0,1550-3,0.,0,0,0,285,855,0,0,0,0,0,0,0,0,0,2,,,570,570,0.0445,0.0445,0.2250,0.2250
232000071,M6117김포,523,232,8,40,0.043000,0.231000,0.0,0.0,정보없음,1,0.0,20160601043000,20160601232000,,0,,,,0,M6117,,0,1,14,20,60,0,0,0,0,0,0,0,0,0,2,양곡터미널,서울역,15,15,0.043000,0.043000,0.232000,0.232000
